
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker2D_orig
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker2D_orig
Output will be written to file: sanityCheck2D.2019-11-11.192954.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v0_2d
	 Application local name: 		 mugtracker2D_orig
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck2D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v0_2d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=36ms (0ms mobile, 0ms wifi, 36ms not connected)

--------------------------------------------------------------------------------

App PID: 9014
Trial start time (ms): 1573518594802

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
50,2700,coca_cola.jpg,61.2,5.9,54725904,50592824,4133080,8,DNE,3667952,187396,1365344,1077952832,11982,1966,0,0,10,79,5858,54947
51,2731,coca_cola.jpg,56.2,6.0,54725904,50592820,4133084,8,DNE,3667952,186612,1364580,1077952832,12127,1995,0,0,10,79,5858,55042
52,2722,coca_cola.jpg,62.5,6.0,54725904,50592820,4133084,8,DNE,3667952,186440,1364420,1077952832,12286,2018,0,0,10,79,5858,55264
53,2729,coca_cola.jpg,66.6,6.0,54725904,50592820,4133084,8,DNE,3667952,185852,1363840,1077952832,12430,2055,0,0,10,79,5858,55376
54,2738,coca_cola.jpg,64.5,6.0,54725904,50592820,4133084,8,DNE,3667952,185380,1363368,1077952832,12594,2081,0,0,10,79,5858,55336
55,2732,coca_cola.jpg,64.5,6.0,54725904,50592808,4133096,8,DNE,3667952,185368,1363388,1077952832,12746,2111,0,0,10,79,5858,55608
56,2700,coca_cola.jpg,64.5,6.0,54725904,50592804,4133100,8,DNE,3667952,179596,1357644,1077952832,12912,2136,0,0,10,79,5858,55963
57,2690,coca_cola.jpg,70.9,6.0,54725904,50592804,4133100,8,DNE,3667952,170556,1348628,1077952832,13121,2162,0,0,10,79,5858,55080
58,2734,coca_cola.jpg,61.2,5.8,54725904,50592804,4133100,8,DNE,3667952,178740,1356956,1077952832,13262,2200,0,0,10,79,5858,53810
59,2732,coca_cola.jpg,61.2,5.8,54725904,50592804,4133100,8,DNE,3667952,178556,1356772,1077952832,13431,2223,0,0,10,79,5858,53853
60,2712,coca_cola.jpg,64.5,5.8,54725904,50592804,4133100,8,DNE,3667952,178180,1356400,1077952832,13593,2250,0,0,10,79,5858,53944
61,2781,dr_pepper.jpg,61.2,5.8,54725904,50592800,4133104,8,DNE,3667952,174928,1353324,1077952832,13754,2278,0,0,10,81,5858,53957
62,2726,dr_pepper.jpg,64.5,6.1,54725904,50592800,4133104,8,DNE,3667952,172724,1351136,1077952832,13913,2313,0,0,10,79,5858,56799
63,2749,dr_pepper.jpg,65.6,6.1,54725904,50592800,4133104,8,DNE,3667952,173352,1351772,1077952832,14076,2339,0,0,10,79,5858,56565
64,2736,dr_pepper.jpg,67.7,6.1,54725904,50592800,4133104,8,DNE,3667952,172468,1350888,1077952832,14251,2360,0,0,10,79,5858,56282
65,2719,dr_pepper.jpg,65.6,6.1,54725904,50592800,4133104,8,DNE,3667952,172220,1350400,1077952832,14415,2391,0,0,10,79,5858,56315
66,2720,dr_pepper.jpg,70.9,6.1,54725904,50592800,4133104,8,DNE,3667952,170908,1349400,1077952832,14589,2411,0,0,10,79,5858,56618
67,2741,dr_pepper.jpg,68.7,6.1,54725904,50592796,4133108,8,DNE,3667952,171480,1349988,1077952832,14759,2434,0,0,10,79,5858,56505
68,2713,dr_pepper.jpg,61.2,6.1,54725904,50592796,4133108,8,DNE,3667952,169720,1348220,1077952832,14923,2463,0,0,10,79,5858,56234
69,2730,dr_pepper.jpg,70.9,6.1,54725904,50592796,4133108,8,DNE,3667952,170244,1348752,1077952832,15093,2487,0,0,10,79,5858,56142
70,2715,dr_pepper.jpg,67.7,6.1,54725904,50592796,4133108,8,DNE,3667952,168936,1347444,1077952832,15269,2505,0,0,10,79,5858,56164
71,2724,dr_pepper.jpg,74.1,5.7,54725904,50592796,4133108,8,DNE,3667952,168864,1347372,1077952832,15464,2532,0,0,10,79,5858,53003
72,2714,dr_pepper.jpg,70.9,6.2,54725904,50592796,4133108,8,DNE,3667952,164964,1344812,1077952832,15642,2558,0,0,10,79,5858,56818
73,2731,dr_pepper.jpg,71.8,6.0,54725904,50592796,4133108,8,DNE,3667952,171688,1352160,1077952832,15845,2582,0,0,10,79,5858,55154
74,2729,dr_pepper.jpg,68.7,6.0,54725904,50592796,4133108,8,DNE,3667952,173052,1353520,1077952832,16026,2604,0,0,10,79,5858,55431
75,2732,dr_pepper.jpg,70.9,6.0,54725904,50592796,4133108,8,DNE,3667952,173972,1354448,1077952832,16204,2625,0,0,10,79,5858,55375
